ticker,company_name,ds,y
AAPL,APPLE INC,2018-09-30,25.2
AAPL,APPLE INC,2018-12-31,13.17
AAPL,APPLE INC,2019-03-31,11.45
AAPL,APPLE INC,2019-06-30,17.96
AAPL,APPLE INC,2019-09-30,213.88
AAPL,APPLE INC,2019-12-31,13.58
AAPL,APPLE INC,2020-03-31,12.51
AAPL,APPLE INC,2020-06-30,170.6
AAPL,APPLE INC,2020-09-30,40.31
AAPL,APPLE INC,2020-12-31,8.68
AAPL,APPLE INC,2021-03-31,20.81
AAPL,APPLE INC,2021-06-30,6.46
AAPL,APPLE INC,2021-09-30,297.39
AAPL,APPLE INC,2021-12-31,104.43
AAPL,APPLE INC,2022-03-31,181.89
AAPL,APPLE INC,2022-06-30,19.29
AAPL,APPLE INC,2022-09-30,29.38
AAPL,APPLE INC,2022-12-31,20.77
AAPL,APPLE INC,2023-03-31,211.99
AAPL,APPLE INC,2023-06-30,71.83
AAPL,APPLE INC,2023-09-30,200.58
AAPL,APPLE INC,2023-12-31,7.02
AAPL,APPLE INC,2024-03-31,23.87
AAPL,APPLE INC,2024-06-30,224.91
AAPL,APPLE INC,2024-09-30,181.89
AAPL,APPLE INC,2024-12-31,33.86
AAPL,APPLE INC,2025-03-31,7.95
AAPL,APPLE INC,2025-06-30,41.2
AAPL,APPLE INC,2025-09-30,64.38
AAPL,APPLE INC,2025-12-31,143.76
AAPL,APPLE INC,2026-03-31,19.39
ABBV,ABBVIE INC.,2017-12-31,28.22
ABBV,ABBVIE INC.,2018-03-31,7.93
ABBV,ABBVIE INC.,2018-06-30,8.28
ABBV,ABBVIE INC.,2018-09-30,8.24
ABBV,ABBVIE INC.,2018-12-31,32.75
ABBV,ABBVIE INC.,2019-03-31,7.83
ABBV,ABBVIE INC.,2019-06-30,8.26
ABBV,ABBVIE INC.,2019-09-30,8.48
ABBV,ABBVIE INC.,2019-12-31,33.27
ABBV,ABBVIE INC.,2020-03-31,8.62
ABBV,ABBVIE INC.,2020-06-30,10.42
ABBV,ABBVIE INC.,2020-09-30,12.9
ABBV,ABBVIE INC.,2020-12-31,45.8
ABBV,ABBVIE INC.,2021-03-31,13.01
ABBV,ABBVIE INC.,2021-06-30,26.97
ABBV,ABBVIE INC.,2021-09-30,14.34
ABBV,ABBVIE INC.,2021-12-31,14.89
ABBV,ABBVIE INC.,2022-03-31,13.54
ABBV,ABBVIE INC.,2022-06-30,28.12
ABBV,ABBVIE INC.,2022-09-30,42.93
ABBV,ABBVIE INC.,2022-12-31,58.05
ABBV,ABBVIE INC.,2023-03-31,12.22
ABBV,ABBVIE INC.,2023-06-30,13.86
ABBV,ABBVIE INC.,2023-09-30,40.02
ABBV,ABBVIE INC.,2023-12-31,14.3
ABBV,ABBVIE INC.,2024-03-31,12.31
ABBV,ABBVIE INC.,2024-06-30,14.46
ABBV,ABBVIE INC.,2024-09-30,14.46
ABBV,ABBVIE INC.,2024-12-31,56.33
ABBV,ABBVIE INC.,2025-03-31,13.34
ABBV,ABBVIE INC.,2025-06-30,28.77
ABBV,ABBVIE INC.,2025-09-30,44.54
ABBV,ABBVIE INC.,2025-12-31,61.16
AMD,ADVANCED MICRO DEVICES INC,2017-12-31,2.28
AMD,ADVANCED MICRO DEVICES INC,2018-03-31,1.65
AMD,ADVANCED MICRO DEVICES INC,2018-06-30,1.76
AMD,ADVANCED MICRO DEVICES INC,2018-09-30,1.65
AMD,ADVANCED MICRO DEVICES INC,2018-12-31,0.47
AMD,ADVANCED MICRO DEVICES INC,2019-03-31,1.27
AMD,ADVANCED MICRO DEVICES INC,2019-06-30,1.53
AMD,ADVANCED MICRO DEVICES INC,2019-09-30,4.6
AMD,ADVANCED MICRO DEVICES INC,2019-12-31,1.76
AMD,ADVANCED MICRO DEVICES INC,2020-03-31,1.79
AMD,ADVANCED MICRO DEVICES INC,2020-06-30,1.93
AMD,ADVANCED MICRO DEVICES INC,2020-09-30,1.67
